scheme,mukim,district,lat,lon,geo_level,matched
TMN PERKASA,TELOK PANGLIMA GARANG,Kuala Langat,2.891547,101.4581989,scheme,"Taman Perkasa, Teluk Panglima Garang, Kuala Langat, Selangor, Malaysia"
TMN PERKASA INDAH,HULU LANGAT,Hulu Langat,3.1005669,101.7996395,road,"Jalan Perkasa Indah 2, Taman Perkasa, Kampung Sungai Serai, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, "
TMN PERMAI (KAJANG),KAJANG,Hulu Langat,2.9863998,101.8062651,scheme,"Taman Permai, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
TMN PERMAI (SEMENYIH),SEMENYIH,Hulu Langat,2.9863998,101.8062651,scheme,"Taman Permai, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
TMN PERMAI JAYA,AMPANG,Hulu Langat,3.1398482,101.7786857,scheme,"Pos Malaysia Office, Lot 613, Lorong Dagang Permai 6, Taman Bukit Ampang, Kampung Muhibbah, Ampang, Ampang Jaya Municipa"
TMN PERMAI JAYA,BANDAR AMPANG,Hulu Langat,3.1392825,101.7729684,scheme,"KLINIK 1 MALAYSIA TMN SRI WATAN, 5, Jalan Watan 8, Taman Sri Watan, Kampung Indah Permai, Kampung Dato Mufti Shuib, Ampa"
"TMN PERMAI, SG PELEK",PEKAN SUNGAI PELIK,Sepang,,,none,
TMN PERPAT PERMAI (P/L 6774),KAPAR,Klang,3.1227806,101.3645203,road,"Jalan Penghulu Rashid 14B/KU15, Kapar, Klang City, Klang, Selangor, 42200, Malaysia"
TMN PERSIARAN DESA,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1167233,101.6672651,scheme,"University Of Tsukuba, Malaysia, Persiaran Pantai Baharu, Pantai Baru, Bangsar, Kuala Lumpur, 50614, Malaysia"
TMN PERTAMA,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1127246,101.7292803,scheme,"Taman Pertama, Jalan Cheras, Taman Tenaga, Pudu Ulu, Cheras, Kuala Lumpur, 56100, Malaysia"
TMN PERTIWI,PEKAN TELUK,Kuala Langat,2.8940912,101.4689973,scheme,"Taman Pertiwi, Teluk Panglima Garang, Kuala Langat, Selangor, Malaysia"
TMN PERTIWI,TELOK PANGLIMA GARANG,Kuala Langat,2.8940912,101.4689973,scheme,"Taman Pertiwi, Teluk Panglima Garang, Kuala Langat, Selangor, Malaysia"
TMN PERWIRA,AMPANG,Hulu Langat,3.154166,101.7480416,scheme,"Irrigation and Drainage Department, Jalan Air Bukit, Taman Putra Sulaiman, Kampung Pandan Dalam, Ampang, Ampang Jaya Mun"
"TMN PERWIRA, TPG",BANDAR SIJANGKANG,Kuala Langat,2.9376685,101.4738453,scheme,"Taman Perwira, Sijangkang, Teluk Panglima Garang, Kuala Langat, Selangor, Malaysia"
"TMN PERWIRA, TPG",TELOK PANGLIMA GARANG,Kuala Langat,2.9376685,101.4738453,scheme,"Taman Perwira, Sijangkang, Teluk Panglima Garang, Kuala Langat, Selangor, Malaysia"
TMN PESONA MEKAR,DENGKIL,Sepang,2.9269419,101.7502212,scheme,"Taman Pesona Mekar, Kampung Sungai Merab Jaya, Kampung Desa Putra, Sepang, Selangor, Malaysia"
TMN PETALING,BANDAR KELANG,Klang,3.0817127,101.6185457,scheme,"Taman Desaria (Barat), Old Klang Road, PJS 6, Sunway City, Petaling Jaya, Petaling, Selangor, 46150, Malaysia"
TMN PETALING,KELANG,Klang,3.0817127,101.6185457,scheme,"Taman Desaria (Barat), Old Klang Road, PJS 6, Sunway City, Petaling Jaya, Petaling, Selangor, 46150, Malaysia"
TMN PETALING INDAH,BANDAR KELANG,Klang,3.0243186,101.4389261,scheme,"Taman Petaling Indah, Teluk Pulai, Klang City, Klang, Selangor, Malaysia"
TMN PETALING INDAH,KELANG,Klang,3.0243186,101.4389261,scheme,"Taman Petaling Indah, Teluk Pulai, Klang City, Klang, Selangor, Malaysia"
TMN PETALING UTAMA - JLN PJS 1/52,BDR PETALING JAYA SELATAN,Petaling,,,none,
TMN PETALING UTAMA - JLN PJS 1/52,PETALING,Petaling,,,none,
TMN PETALING UTAMA-JLN 1/21-1/25,BDR PETALING JAYA SELATAN,Petaling,,,none,
TMN PETALING UTAMA-JLN 1/21-1/25,PETALING,Petaling,,,none,
TMN PETALING UTAMA-PJS 1,BDR PETALING JAYA SELATAN,Petaling,3.0793482,101.6466582,scheme,"Taman Petaling Utama, PJS 1, Petaling Jaya South, Petaling Jaya, Petaling, Selangor, 46050, Malaysia"
TMN PETALING UTAMA-PJS 1,PETALING,Petaling,3.0793482,101.6466582,scheme,"Taman Petaling Utama, PJS 1, Petaling Jaya South, Petaling Jaya, Petaling, Selangor, 46050, Malaysia"
TMN PINANG (P/L 6290),KAPAR,Klang,3.0659177,101.4345945,scheme,"Taman Sri Pinang, Jalan Kapar, Kampung Batu 3, Klang City, Klang, Selangor, 41400, Malaysia"
TMN PINANG RAJA,KAPAR,Klang,,,none,
TMN PINGGIRAN,BANDAR CHERAS,Hulu Langat,3.0389114,101.7880414,scheme,"Taman Pinggiran Sungai Long, Bandar Mahkota Cheras, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
TMN PINGGIRAN CEMPAKA,BANDAR AMPANG,Hulu Langat,,,none,
TMN PINGGIRAN CHERAS,BANDAR AMPANG,Hulu Langat,3.0389114,101.7880414,scheme,"Taman Pinggiran Sungai Long, Bandar Mahkota Cheras, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
TMN PINGGIRAN DELIMA,HULU LANGAT,Hulu Langat,3.1221983,101.8092756,scheme,"Taman Pinggiran Delima, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, Selangor, 43100, Malaysia"
TMN PINGGIRAN MAHKOTA (CHERAS),CHERAS,Hulu Langat,3.0389114,101.7880414,scheme,"Taman Pinggiran Sungai Long, Bandar Mahkota Cheras, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
TMN PINGGIRAN SAUJANA,BANDAR KAJANG,Hulu Langat,,,none,
TMN PINGGIRAN SEKAMAT,CHERAS,Hulu Langat,3.0260323,101.7797499,scheme,"Taman Pinggiran Sekamat, Kampung Bukit Dukung, Kampung Sungai Sekamat, Kajang Municipal Council, Hulu Langat, Selangor, "
TMN PLATINUM (RESIDENSI GATE),DENGKIL,Sepang,,,none,
"TMN PRIMA IMPIAN, PEL. KLANG",PEKAN PORT SWETTENHAM,Klang,,,none,
TMN PRIMA SAUJANA,BANDAR KAJANG,Hulu Langat,,,none,
TMN PRIMA SURIA,BANDAR BATU 9 CHERAS,Hulu Langat,3.0666362,101.7722913,scheme,"Taman Prima Suria, Kampung Melaka, Cheras, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
TMN PRIMA SURIA,CHERAS,Hulu Langat,3.0666362,101.7722913,scheme,"Taman Prima Suria, Kampung Melaka, Cheras, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
TMN PUCHONG,PETALING,Petaling,3.0160457,101.6102082,scheme,"Tractors Malaysia, Jalan Intan 2/8, Taman Puchong Intan, Puchong Perdana, Puchong, Subang Jaya City Council, Petaling, S"
TMN PUCHONG INDAH,PEKAN PUCHONG PERDANA,Petaling,3.0160457,101.6102082,scheme,"Tractors Malaysia, Jalan Intan 2/8, Taman Puchong Intan, Puchong Perdana, Puchong, Subang Jaya City Council, Petaling, S"
TMN PUCHONG INDAH,PETALING,Petaling,3.0160457,101.6102082,scheme,"Tractors Malaysia, Jalan Intan 2/8, Taman Puchong Intan, Puchong Perdana, Puchong, Subang Jaya City Council, Petaling, S"
TMN PUCHONG INTAN,PEKAN PUCHONG PERDANA,Petaling,3.0175592,101.6078482,scheme,"Taman Puchong Intan, Puchong Perdana, Puchong, Subang Jaya City Council, Petaling, Selangor, 47150, Malaysia"
TMN PUCHONG LAGENDA,PEKAN DESA PUCHONG,Petaling,,,none,
TMN PUCHONG PERDANA,PEKAN PUCHONG PERDANA,Petaling,3.0214263,101.6101037,scheme,"Pos Malaysia Perindustrian Puchong, Jalan TPP 1/7, Taman Perindustrian Puchong, Puchong Perdana, Puchong, Subang Jaya Ci"
TMN PUCHONG PERDANA,PETALING,Petaling,3.0160457,101.6102082,scheme,"Tractors Malaysia, Jalan Intan 2/8, Taman Puchong Intan, Puchong Perdana, Puchong, Subang Jaya City Council, Petaling, S"
