scheme,mukim,district,lat,lon,geo_level,matched
P/L 8965 (RKT SUNGAI MERAB),DENGKIL,Sepang,,,none,
"P/L 965,TMN WARISAN",BANDAR KUALA SELANGOR,Kuala Selangor,3.3310008,101.2580385,road,"Jalan Warisan 3, Taman Warisan, Bandar Malawati, Kuala Selangor, Selangor, 45000, Malaysia"
P/LOT 1434 (HULU LANGAT),HULU LANGAT,Hulu Langat,3.1171293,101.8095947,road,"Laman Kesuma, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
P/LOT 1826 TMN DESA SALAK JAYA,LABU,Sepang,2.7967726,101.7232827,road,"Jalan Jaya 1, Kampung Labu Lanjut, Bandar Baru Salak Tinggi, Sepang, Selangor, 43900, Malaysia"
P/LOT 1957 (LABU LANJUT),LABU,Sepang,,,none,
P/LOT 2000 (MUKIM LABU),LABU,Sepang,2.7898312,101.725776,road,"Jalan Salak Setia 1, Kampung Labu Lanjut, Bandar Baru Salak Tinggi, Sepang, Selangor, 43900, Malaysia"
P/LOT 2086(SG SEMUNGKIS),HULU LANGAT,Hulu Langat,3.134227,101.8142074,road,"Jalan Felcra Semungkis, Kampung Sungai Semungkis, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, Selangor, "
P/LOT 2167 (LABU LANJUT),LABU,Sepang,2.7962493,101.717548,road,"Jalan 5 A, Kampung Labu Lanjut, Bandar Baru Salak Tinggi, Sepang, Selangor, 43900, Malaysia"
P/LOT 2197(LABU LANJUT),LABU,Sepang,,,none,
P/LOT 2234(IMPIAN VILLAS) LABU,LABU,Sepang,2.8006448,101.7220668,road,"Jalan Utama Lanjut, Kampung Labu Lanjut, Bandar Baru Salak Tinggi, Sepang, Selangor, 43900, Malaysia"
P/LOT 238 (HULU LANGAT),HULU LANGAT,Hulu Langat,3.0917736,101.7944956,road,"Kampung Sungai Serai, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, Selangor, 43100, Malaysia"
P/LOT 3202,DENGKIL,Sepang,2.8617953,101.6394686,road,"Lorong 6, Taman Arked, Dengkil, Sepang, Selangor, 43800, Malaysia"
P/LOT 3438 (OFF JALAN JENDERAM - SALAK),DENGKIL,Sepang,,,none,
P/LOT 3440(OFFJLN SALAK),DENGKIL,Sepang,,,none,
P/LOT 3446,DENGKIL,Sepang,,,none,
P/LOT 4487& 5906(DENGKIL),DENGKIL,Sepang,,,none,
P/LOT 47776 (2248),DENGKIL,Sepang,2.8644734,101.6747684,road,"Jalan Putrajaya - Dengkil, Taman Jed, Kampung Cemperai, Dengkil, Sepang, Selangor, 43800, Malaysia"
P/LOT 4990 (HULU LANGAT),HULU LANGAT,Hulu Langat,3.0693728,101.7834351,road,"Jalan Hulu Langat Jaya, Taman Hulu Langat Jaya, Kampung Melaka, Kampung Bukit Raya, Kajang Municipal Council, Hulu Langa"
P/LOT 5233(TMN DESA KAYANGAN),DENGKIL,Sepang,,,none,
P/LOT 524,MORIB,Kuala Langat,2.7574468,101.4607443,road,"Jalan Ketingting 1, Riviera, Morib Bay Resort City, Kampung Tali Air, Banting, Kuala Langat, Selangor, Malaysia"
P/LOT 5303 (SG. MAKAU),HULU LANGAT,Hulu Langat,3.1174019,101.828547,road,"Jalan Kenangan 6, Kampung Kenangan 18, Kampung Sungai Semungkis, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Lan"
P/LOT 5303 (SG. MAKAU),PEKAN SUNGAI MAKAU,Hulu Langat,,,none,
P/LOT 6289,KAJANG,Hulu Langat,2.9906898,101.7895994,scheme,"Lot 90, Kampung Sungai Jernih, Kajang Municipal Council, Hulu Langat, Selangor, Malaysia"
P/LOT 8671(RKT SG MERAB 1),DENGKIL,Sepang,,,none,
P/LOT 9184,DENGKIL,Sepang,,,none,
P/LOT 9863(RT JENDERAM/AMPAR TENANG),DENGKIL,Sepang,,,none,
P/LOT SG RAMAL DALAM,KAJANG,Hulu Langat,2.9742546,101.7628849,road,"Persiaran Teratai 4, Kampung Sungai Ramal Dalam, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
P/PURI ANGGERIK 2 (NURI 2)-BDR PCHG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI ANGGERIK INDAH - SEK.16 SHAH ALAM,BANDAR SHAH ALAM,Petaling,,,none,
P/PURI BAYU(PUNCAK SRDG)-TMN BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI CAHAYA PERMAI - PUTRA PERMAI,PETALING,Petaling,,,none,
P/PURI CEMARA - TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI CEMPAKA-BELIMBING INDAH,PEKAN BARU SG BESI,Petaling,,,none,
P/PURI DAHLIA-TMN SUBANG PERDANA,PEKAN BARU SUBANG,Petaling,,,none,
P/PURI DELIMA-BUKIT JELUTONG,DAMANSARA,Petaling,,,none,
P/PURI DESA SAUJANA - TMN SG BESI INDAH,PEKAN BARU SG BESI,Petaling,,,none,
P/PURI DESA TANJUNG - PST BDR PUCHONG,PEKAN KINRARA,Petaling,,,none,
P/PURI EXCELSA - TMN UNIVERSITI INDAH,PEKAN SERDANG,Petaling,,,none,
"P/PURI HAPPY MANSION - SEK. 17, PJ",BANDAR PETALING JAYA,Petaling,,,none,
P/PURI ILHAM - TTDI JAYA,DAMANSARA,Petaling,,,none,
P/PURI IMPIAN HEIGHTS - BDR PUCHONG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI INDAH 1- PRIMA DAMANSARA,SUNGAI BULUH,Petaling,,,none,
P/PURI INDAH-DAMANSARA DAMAI,SUNGAI BULUH,Petaling,,,none,
P/PURI INTAN-TMN PUCHONG INTAN,PEKAN PUCHONG PERDANA,Petaling,,,none,
P/PURI JASMIN -JLN PLUTO BDR PGGIRAN SBG,PEKAN BARU SUBANG,Petaling,,,none,
P/PURI JASMIN -JLN PLUTO BDR PGGIRAN SBG,SUNGAI BULUH,Petaling,,,none,
P/PURI JASMINE COURT - BDR PUCHONG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI JATI 1 - TMN SBG MEWAH,PEKAN PENAGA,Petaling,,,none,
P/PURI JATI 1 - TMN SBG MEWAH,PETALING,Petaling,,,none,
P/PURI KELANA IMPIAN - SS8 PETALING JAYA,BANDAR PETALING JAYA,Petaling,,,none,
P/PURI KENANGA - PUSAT BANDAR PUCHONG,PEKAN KINRARA,Petaling,,,none,
P/PURI KENANGA - TMN KINRARA,PEKAN KINRARA,Petaling,,,none,
"P/PURI KETITIR, KUANG-TMN SG BESI INDAH",PEKAN BARU SG BESI,Petaling,,,none,
P/PURI KINRARA PUTRI - TMN KINRARA SEK.4,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI KINRARA RIA-TMN KINRARA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI LATAN BIRU - KOTA DAMANSARA,PEKAN BARU SG BULUH,Petaling,,,none,
"P/PURI LILI & ROSE - SS 26,PETALING JAYA",BANDAR PETALING JAYA,Petaling,,,none,
"P/PURI LILI & ROSE - SS 26,PETALING JAYA",SUNGAI BULUH,Petaling,,,none,
"P/PURI MAWAR - SEK.4, KOTA DAMANSARA",PEKAN BARU SG BULUH,Petaling,,,none,
P/PURI MAYANG-BANDAR KINRARA,PEKAN KINRARA,Petaling,,,none,
P/PURI MEDAN MAS-U19  KG BARU SG BULOH,SUNGAI BULUH,Petaling,,,none,
P/PURI MEGARIA II - TMN BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI MEGARIA III LILI-TMN BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI MEGARIA IV(ROS) - BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI MEGARIA TULIP-BUKIT SERDANG SEK.8,PEKAN SERDANG,Petaling,,,none,
P/PURI MELUR - KOTA DAMANSARA,PEKAN BARU SG BULUH,Petaling,,,none,
P/PURI MERAK - BANDAR KINRARA,PEKAN KINRARA,Petaling,,,none,
P/PURI MUTIARA PERDANA-PJS 7 BDR SUNWAY,BDR SUNWAY,Petaling,,,none,
P/PURI MUTIARA PERDANA-PJS 7 BDR SUNWAY,PETALING,Petaling,,,none,
P/PURI MY PLACE - SS15 SUBANG JAYA,BANDAR SUBANG JAYA,Petaling,,,none,
P/PURI NURI-BDR PINGGIRAN SUBANG,SUNGAI BULUH,Petaling,,,none,
P/PURI OPAL & RUBY-BDR PINGGIRAN SUBANG,PETALING,Petaling,,,none,
P/PURI OPAL & RUBY-BDR PINGGIRAN SUBANG,SUNGAI BULUH,Petaling,,,none,
P/PURI ORKID - BDR PINGGIRAN SUBANG,SUNGAI BULUH,Petaling,,,none,
P/PURI ORKID-TMN BKT SERDANG SEKSYEN 13,PETALING,Petaling,,,none,
P/PURI PALM TERRACE -TMN KINRARA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI PALM VILLE - TMN KINRARA SEK 1,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI PUTERI BAYU - BDR PUTERI,PETALING,Petaling,,,none,
P/PURI PUTERI-SEK17 S.ALAM PADANG JAWA,BANDAR SHAH ALAM,Petaling,,,none,
P/PURI PUTRA IMPIAN-TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI PUTRA INDAH - TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI PUTRA RAYA-PINGGIRAN PUTRA SEK 2,PETALING,Petaling,,,none,
P/PURI PUTRA RIA - TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI RUBY - JLN MATAHARI U5/117,SUNGAI BULUH,Petaling,,,none,
P/PURI RUSELIA - TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI SD APARTMENT 1 & 2-BDR SRI D'SARA,BDR SRI DAMANSARA,Petaling,,,none,
P/PURI SD TIARA-BDR SRI D'SARA,BDR SRI DAMANSARA,Petaling,,,none,
P/PURI SEAPARK - SS21,BANDAR PETALING JAYA,Petaling,,,none,
P/PURI SEAPARK - SS21,SUNGAI BULUH,Petaling,,,none,
P/PURI SEMARAK - PST BDR PUCHONG,PEKAN KINRARA,Petaling,,,none,
P/PURI SENTOSA -BDR SETIA ALAM,BUKIT RAJA,Petaling,,,none,
P/PURI SERI BINTANG-U5 SUBANG BESTARI,SUNGAI BULUH,Petaling,,,none,
P/PURI SERI DAHLIA - BDR PUTERI,PETALING,Petaling,,,none,
P/PURI SERI IMPIAN - BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI SERI INDAH MAS -BKT SERDANG,PEKAN SERDANG,Petaling,,,none,
P/PURI SERI INDAH-SG BESI INDAH,PEKAN BARU SG BESI,Petaling,,,none,
P/PURI SERI JASA - SG BESI INDAH,PEKAN BARU SG BESI,Petaling,,,none,
P/PURI SERI JASA - SG BESI INDAH,PETALING,Petaling,,,none,
P/PURI SERI KEJORA -U5 SUBANG BESTARI,SUNGAI BULUH,Petaling,,,none,
P/PURI SERI MAS - TMN PINGGIRAN PUTRA,PETALING,Petaling,,,none,
P/PURI SERI PAGI-TMN BKT SERDANG SEK. 4,PEKAN SERDANG,Petaling,,,none,
P/PURI SERI PELANGI-BDR PINGGIRAN SUBANG,SUNGAI BULUH,Petaling,,,none,
P/PURI SERI PINANG-TMN BKT SERDANG SEK.1,PEKAN SERDANG,Petaling,,,none,
P/PURI SERI UTAMA-PUCHONG UTAMA,PEKAN PUCHONG PERDANA,Petaling,,,none,
P/PURI SPECTRUM - PJS 10 SUBANG INDAH,BDR SUNWAY,Petaling,,,none,
P/PURI SRI ANGGERIK1 (NURI 1)-PCHNG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI SRI ARA - ARA DAMANSARA,DAMANSARA,Petaling,,,none,
P/PURI SRI BAYU - BDR PUCHONG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI SRI CAMELLIA - BDR PUTERI,PETALING,Petaling,,,none,
P/PURI SRI CEMPAKA - BDR PUCHONG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI SRI GALAKSI-BDR PINGGIRANG SUBANG,SUNGAI BULUH,Petaling,,,none,
P/PURI SRI KESIDANG-BDR PUCHONG JAYA,PEKAN KINRARA,Petaling,,,none,
P/PURI SRI MEKAR - BDR PUCHONG JAYA,PEKAN KINRARA,Petaling,,,none,
P/PURI SRI PENAGA - PST BDR PUCHONG,PEKAN KINRARA,Petaling,,,none,
P/PURI SRI TANJUNG - BDR PUCHONG JAYA,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI SRI TERATAI-BDR PUCHONG JAYA,PEKAN KINRARA,Petaling,,,none,
P/PURI SURIA - PJS 3,BDR PETALING JAYA SELATAN,Petaling,,,none,
P/PURI SURIA - TMN KINRARA SEK. 4,PEKAN PUCHONG JAYA,Petaling,,,none,
P/PURI SURIA RAFFLESIA-BDR SETIA ALAM,BUKIT RAJA,Petaling,,,none,
P/PURI SURIA RAFFLESIA-BDR SETIA ALAM,PETALING,Petaling,,,none,
P/PURI SURIA SUBANG-U5 BDR PINGGRAN SBG,SUNGAI BULUH,Petaling,,,none,
P/PURI VISTA LAVENDAR-TMN KINRARA SEK.3,PEKAN PUCHONG JAYA,Petaling,,,none,
PAK CHAN MANSION,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,,,none,
PALAZZIO SUNWAY,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1546676,101.6474004,scheme,"Sunway Palazzio, Sri Hartamas, Kuala Lumpur, Malaysia"
PALM COURT,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1297843,101.6870247,scheme,"Palm Court, Jalan Sultan Abdul Samad, Brickfields, Kuala Lumpur, 50470, Malaysia"
"PALM GARDEN APARTMENT, BDR BARU KLANG",KAPAR,Klang,3.0651334,101.4618067,scheme,"Palm Garden Apartment, Persiaran Bukit Raja, Klang New Town, Klang City, Klang, Selangor, 41300, Malaysia"
PALM SPRING - SEK.13 KOTA DAMANSARA,PEKAN BARU SG BULUH,Petaling,,,none,
"PALM WALK , BDR SG LONG",CHERAS,Hulu Langat,3.053154,101.8113001,scheme,"Palm Walk 3, Bandar Sungai Long, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
"PALM WALK , BDR SG LONG",PEKAN CHERAS,Hulu Langat,3.053154,101.8113001,scheme,"Palm Walk 3, Bandar Sungai Long, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
PALM WALK @ BANDAR SUNGAI LONG,CHERAS,Hulu Langat,3.053154,101.8113001,scheme,"Palm Walk 3, Bandar Sungai Long, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
PALM WALK @ BDR SG LONG,CHERAS,Hulu Langat,3.053154,101.8113001,scheme,"Palm Walk 3, Bandar Sungai Long, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Malaysia"
"PALMA PERAK&PUTERI-SEK.6, KOTA DAMANSARA",PEKAN BARU SG BULUH,Petaling,,,none,
PALMVILLE RESORT KONDO-PJS 9 BDR SUNWAY,BDR SUNWAY,Petaling,,,none,
PALMYRA BANGSAR,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1381686,101.6598732,scheme,"Palmyra, 9, Bangsar, Kuala Lumpur, 59100, Malaysia"
PANDAMARAN JAYA,KELANG,Klang,3.0093926,101.4217718,scheme,"Taman Kampung Pandamaran Jaya, Port Klang, Klang City, Klang, Selangor, 42000, Malaysia"
PANDAMARAN JAYA,PEKAN PENDAMARAN,Klang,3.0093926,101.4217718,scheme,"Taman Kampung Pandamaran Jaya, Port Klang, Klang City, Klang, Selangor, 42000, Malaysia"
PANDAN HEIGHTS (STRATA),MUKIM KUALA LUMPUR,Kuala Lumpur,,,none,
PANDAN HEIGHTS(STRATA),MUKIM KUALA LUMPUR,Kuala Lumpur,,,none,
PANDAN MAS RESIDENCE,MUKIM AMPANG,Kuala Lumpur,,,none,
PANGSA MURNI,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1690118,101.7236599,scheme,"Pangsa Murni, Persiaran Gurney, Kampung Datuk Keramat, Kuala Lumpur, 54000, Malaysia"
PANGSA MURNI,MUKIM ULU KELANG,Kuala Lumpur,3.1690118,101.7236599,scheme,"Pangsa Murni, Persiaran Gurney, Kampung Datuk Keramat, Kuala Lumpur, 54000, Malaysia"
PANGSAPURI ADELIA,MUKIM SETAPAK,Kuala Lumpur,3.198616,101.7301524,scheme,"Pangsapuri Adelia, Wangsa Maju, Kuala Lumpur, Malaysia"
PANGSAPURI AKASIA @ BDR BOTANIC,KELANG,Klang,2.9864333,101.4254604,scheme,"Acacia Apartments, Bandar Botanic, Port Klang, Klang City, Klang, Selangor, Malaysia"
"PANGSAPURI AKASIA, SEK. 32",KELANG,Klang,,,none,
PANGSAPURI ALAM PRIMA - BATU 3 SHAH ALAM,DAMANSARA,Petaling,,,none,
PANGSAPURI ALAM PRIMA - BATU 3 SHAH ALAM,PEKAN HICOM,Petaling,,,none,
PANGSAPURI AMAN PERDANA,KAPAR,Klang,3.0948863,101.4079342,scheme,"Aman Perdana Apartment, Taman Klang Utama, Klang City, Klang, Selangor, 40150, Malaysia"
PANGSAPURI ANGGERIK,KELANG,Klang,3.0425381,101.4168442,scheme,"Kampung Sungai Udang/Pangsapuri Anggerik, Jalan Sungai Udang, Teluk Pulai, Klang City, Klang, Selangor, 41250, Malaysia"
"PANGSAPURI ARANDA, KOTA KEMUNING",KELANG,Klang,,,none,
PANGSAPURI ARISTA @ BDR PARKLANDS,KELANG,Klang,2.966834,101.4588866,scheme,"Pangsapuri Arista, Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi, Klang City, Klang, Selangor, Malaysia"
"PANGSAPURI ARISTA, BDR PARKLANDS",KELANG,Klang,2.966834,101.4588866,scheme,"Pangsapuri Arista, Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi, Klang City, Klang, Selangor, Malaysia"
"PANGSAPURI ARONIA, BDR PARKLANDS",KELANG,Klang,,,none,
"PANGSAPURI ASTERIA, BDR PARKLAND",KELANG,Klang,,,none,
PANGSAPURI AZARIA @ BDR PARKLANDS,KELANG,Klang,,,none,
"PANGSAPURI AZARIA, BDR PARKLANDS",KELANG,Klang,,,none,
PANGSAPURI BANDAR BARU SENTUL,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1870431,101.6973875,scheme,"Pangsapuri Bandar Baru Sentul, Kampung Chubadak Hilir, Kuala Lumpur, Malaysia"
PANGSAPURI BANDAR BARU SENTUL,MUKIM SETAPAK,Kuala Lumpur,3.1870431,101.6973875,scheme,"Pangsapuri Bandar Baru Sentul, Kampung Chubadak Hilir, Kuala Lumpur, Malaysia"
PANGSAPURI BANDARAYA GOMBAK,MUKIM SETAPAK,Kuala Lumpur,,,none,
PANGSAPURI BANDARAYA SETAPAK,MUKIM SETAPAK,Kuala Lumpur,,,none,
PANGSAPURI BANGSAR UTAMA,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1287639,101.6769805,scheme,"Pangsapuri KTMB Bangsar Utama, Bangsar, Kuala Lumpur, Malaysia"
PANGSAPURI BARAT & TIMUR-TMN BKT SERDANG,PETALING,Petaling,,,none,
PANGSAPURI BARAT-TMN BKT SERDANG,PETALING,Petaling,,,none,
PANGSAPURI BAYU PUTERI-PJU 3,BDR DAMANSARA,Petaling,,,none,
PANGSAPURI BAYU PUTERI-PJU 3,DAMANSARA,Petaling,,,none,
PANGSAPURI BAYU SENTUL,MUKIM SETAPAK,Kuala Lumpur,,,none,
PANGSAPURI BEREMBANG INDAH,BANDAR HULU KELANG,Gombak,3.1650448,101.7377441,scheme,"Pangsapuri Berembang Indah, Ampang-Kuala Lumpur Elevated Highway, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Sel"
PANGSAPURI BUKIT AWAN SARI,MUKIM PETALING,Kuala Lumpur,,,none,
PANGSAPURI BUKIT BARU,BANDAR HULU KELANG,Gombak,3.1749475,101.7324898,scheme,"Pangsapuri Bukit Baru, Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, Malaysia"
PANGSAPURI BUKIT KUDA,BANDAR KELANG,Klang,3.0506463,101.4665596,scheme,"Pangsapuri Permai, Jalan Bukit Kuda, Taman Ros, Kampung Kuantan, Klang City, Klang, Selangor, 41300, Malaysia"
PANGSAPURI CARMILA-SEK.5 KOTA DAMANSARA,PEKAN BARU SG BULUH,Petaling,,,none,
PANGSAPURI CENDANA,MUKIM KUALA LUMPUR,Kuala Lumpur,,,none,
PANGSAPURI CERIA,KAPAR,Klang,,,none,
"PANGSAPURI CERIA, TMN SG KAPAR INDAH",KAPAR,Klang,,,none,
PANGSAPURI D CAHAYA - BDR PUCHONG JAYA,PEKAN KINRARA,Petaling,3.0481156,101.6332526,scheme,"D'Cahaya Aparment, Bandar Puchong Jaya, Puchong, Subang Jaya City Council, Petaling, Selangor, Malaysia"
"PANGSAPURI DAHLIA, BDR BARU KLANG",KAPAR,Klang,,,none,
PANGSAPURI DAISY - SUBANG PERDANA,PEKAN BARU SUBANG,Petaling,,,none,
"PANGSAPURI DAMAI, TMN SRI MUDA",BANDAR SHAH ALAM,Klang,3.0363407,101.5307955,scheme,"Damai Apartments, Section 25, Taman Sri Muda, Shah Alam, Klang, Selangor, Malaysia"
PANGSAPURI DANAU MAS - SEK 7. SHAH ALAM,BANDAR SHAH ALAM,Petaling,,,none,
PANGSAPURI DANAU PERINTIS,BANDAR KUALA SELANGOR,Kuala Selangor,,,none,
PANGSAPURI DANAU PERINTIS,JERAM,Kuala Selangor,,,none,
PANGSAPURI DESA TENAGA,MUKIM KUALA LUMPUR,Kuala Lumpur,,,none,
PANGSAPURI ENGGANG -BDR KINRARA SEK.6,PEKAN KINRARA,Petaling,,,none,
"PANGSAPURI GLEN COURT, BDR SG LONG",BANDAR CHERAS,Hulu Langat,,,none,
PANGSAPURI HARMONI -PUTRA HEIGHT,DAMANSARA,Petaling,,,none,
PANGSAPURI IMPIAN MERU,KAPAR,Klang,3.1380931,101.4280334,scheme,"Pangsapuri Impian Meru (Blok B), Jalan Nenas Madu KU 2/6, Taman Meru Mulia, Meru, Klang City, Klang, Selangor, 41050, Ma"
PANGSAPURI IMPIAN-DAMANSARA DAMAI,SUNGAI BULUH,Petaling,,,none,
PANGSAPURI JAYA-TTDI JAYA,DAMANSARA,Petaling,3.0994931,101.5558142,scheme,"Pangsapuri Jaya, Jalan Ilham U2/14, TTDI Jaya, Section U2, Bukit Jelutong, Shah Alam, Petaling, Selangor, 40100, Malaysi"
PANGSAPURI JENDERAM INDAH,DENGKIL,Sepang,,,none,
PANGSAPURI KASUARINA @ BDR BOTANIC,KELANG,Klang,2.9850236,101.4254406,scheme,"Casuarina Apartments, Bandar Botanic, Port Klang, Klang City, Klang, Selangor, Malaysia"
PANGSAPURI KEMUNING AMAN,KELANG,Klang,,,none,
PANGSAPURI KEMUNING IDAMAN,BANDAR KOTA KEMUNING,Klang,,,none,
PANGSAPURI KEMUNING IDAMAN,KELANG,Klang,,,none,
PANGSAPURI KESUMA - BDR KINRARA,PEKAN KINRARA,Petaling,,,none,
PANGSAPURI KINRARA MAS,MUKIM PETALING,Kuala Lumpur,,,none,
PANGSAPURI KLANG VILLA,PEKAN PORT SWETTENHAM,Klang,,,none,
PANGSAPURI LAFITE-SS17 SUBANG JAYA,BANDAR SUBANG JAYA,Petaling,,,none,
PANGSAPURI MAMPU MILIK -SERAI WANGI U12,BANDAR SHAH ALAM,Petaling,,,none,
PANGSAPURI MARKISA - PUCHONG,PETALING,Petaling,2.9867328,101.5964233,scheme,"Block C Pangsapuri Seri Markisa, Bandar Puchong Utama, Subang Jaya City Council, Petaling, Selangor, Malaysia"
PANGSAPURI MAWAR,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1816021,101.7534394,scheme,"Pangsapuri Mawar Sari, Setiawangsa, Kuala Lumpur, Malaysia"
PANGSAPURI MAWAR-TMN BKT SERDANG,PETALING,Petaling,3.0418261,101.686815,scheme,"Pangsapuri Mawar, Bukit Serdang, Seri Kembangan, Subang Jaya City Council, Petaling, Selangor, Malaysia"
PANGSAPURI MAYANG TAMAN PUNCAK JALIL,PETALING,Petaling,3.0362244,101.6788862,scheme,"Pangsapuri Mayang, Puncak Jalil, Seri Kembangan, Subang Jaya City Council, Petaling, Selangor, 43300, Malaysia"
PANGSAPURI MELUR,KUALA LUMPUR TOWN CENTRE,Kuala Lumpur,3.1849936,101.6962705,scheme,"Pangsapuri Melur, 72A, Kampung Chubadak Hilir, Kuala Lumpur, Malaysia"
"PANGSAPURI MELUR, KOTA DAMANSARA",PEKAN BARU SG BULUH,Petaling,,,none,
PANGSAPURI MERANTI- USJ 1,PEKAN PENAGA,Petaling,,,none,
PANGSAPURI MERU EHSAN,KAPAR,Klang,3.1347694,101.4332297,scheme,"Pangsapuri Meru Ehsan, Meru, Klang City, Klang, Selangor, Malaysia"
PANGSAPURI MUTIARA BUKIT RAJA 1,KAPAR,Klang,,,none,
PANGSAPURI MUTIARA BUKIT RAJA 2,KAPAR,Klang,,,none,
PANGSAPURI NURI DESA PETALING,MUKIM PETALING,Kuala Lumpur,,,none,
PANGSAPURI OPAL,PEKAN PUCHONG PERDANA,Petaling,3.1685567,101.5430092,scheme,"Pangsapuri Opal, Section U5, Shah Alam, Petaling, Selangor, Malaysia"
PANGSAPURI PALMA @ BDR BOTANIC,KELANG,Klang,2.9893542,101.4254743,scheme,"Pangsapuri Palma, Bandar Botanic, Port Klang, Klang City, Klang, Selangor, Malaysia"
PANGSAPURI PANTAI INDAH,JERAM,Kuala Selangor,,,none,
PANGSAPURI PELANGI COURT,BANDAR KELANG,Klang,,,none,
PANGSAPURI PENDAMAR A,KELANG,Klang,,,none,
PANGSAPURI PENDAMAR B,KELANG,Klang,,,none,
PANGSAPURI PERDANA-SEK 13 SHAH ALAM,BANDAR PETALING JAYA,Petaling,,,none,
PANGSAPURI PERDANA-SEK 13 SHAH ALAM,BANDAR SHAH ALAM,Petaling,,,none,
PANGSAPURI PEREPAT PERMAI,KAPAR,Klang,,,none,
PANGSAPURI PERMAI,KAPAR,Klang,3.0506463,101.4665596,scheme,"Pangsapuri Permai, Jalan Bukit Kuda, Taman Ros, Kampung Kuantan, Klang City, Klang, Selangor, 41300, Malaysia"
PANGSAPURI PERMAI,MUKIM PETALING,Kuala Lumpur,3.0640174,101.7059604,scheme,"Pangsapuri Permai, Sungai Besi, Kuala Lumpur, Malaysia"
"PANGSAPURI PERMAI INDAH, PANDAMARAN",PEKAN PENDAMARAN,Klang,,,none,
"PANGSAPURI PERMAI INDAH, PANDAMARAN JAYA",PEKAN PENDAMARAN,Klang,,,none,
PANGSAPURI PERMATA-PUCHONG PERMAI,PEKAN PUCHONG PERDANA,Petaling,,,none,
"PANGSAPURI PURI PESONA, BDR SG LONG",CHERAS,Hulu Langat,,,none,
PANGSAPURI PUTRA LAKSAMANA,BANDAR SELAYANG,Gombak,3.2461281,101.6760356,scheme,"Pangsapuri Putra Laksamana, Kampung Laksamana, Batu Caves, Selayang Municipal Council, Gombak, Selangor, Malaysia"
PANGSAPURI PUTRI LAKSAMANA,BANDAR SELAYANG,Gombak,3.2434836,101.6796382,scheme,"Pangsapuri Putri Laksamana, Kampung Indian Settlement Batu Caves, Batu Caves, Selayang Municipal Council, Gombak, Selang"
PANGSAPURI RANDA,KELANG,Klang,,,none,
"PANGSAPURI RANDA, KOTA KEMUNING",KELANG,Klang,,,none,
"PANGSAPURI REBANA, BDR BUKIT RAJA",KAPAR,Klang,,,none,
PANGSAPURI RESAK - U10 SHAH ALAM,BUKIT RAJA,Petaling,,,none,
