name,code,lines,operator,type,authority,opened,lat,lon,url,coord_source
Kuchai,PY27,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.0895,101.6942,https://en.wikipedia.org/wiki/Kuchai_MRT_station,wikipedia
Kwasa Damansara,KG04     PY01,9   Kajang Line 12   Putrajaya Line,Rapid Rail,MRT,Shah Alam,16 December 2016  (Kajang Line) 16 June 2022  (Putrajaya Line),3.176472,101.572556,https://en.wikipedia.org/wiki/Kwasa_Damansara_MRT_station,wikipedia
Kwasa Sentral,KG05,9   Kajang Line,Rapid Rail,MRT,Shah Alam,16 December 2016,3.1699139,101.5647944,https://en.wikipedia.org/wiki/Kwasa_Sentral_MRT_station,wikipedia
Labu,KB12,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,1995,2.75389,101.82667,https://en.wikipedia.org/wiki/Labu_Komuter_station,wikipedia
Lembah Subang,KJ25,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,30 June 2016,3.1121,101.5912,https://en.wikipedia.org/wiki/Lembah_Subang_LRT_station,wikipedia
Maharajalela,MR3,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.13889,101.69889,https://en.wikipedia.org/wiki/Maharajalela_Monorail_station,wikipedia
Maluri,AG13     KG22,3   Ampang Line 9   Kajang Line,Rapid Rail,LRT MRT,Kuala Lumpur,16 December 1996  (LRT) 17 July 2017  (MRT),3.1232611,101.7269611,https://en.wikipedia.org/wiki/Maluri_station,wikipedia
Masjid Jamek,AG7     SP7     KJ13,3   Ampang Line 4   Sri Petaling Line 5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996 (Ampang & Sri Petaling Lines) 1 June 1999 (Kelana Jaya Line),3.149667,101.696417,https://en.wikipedia.org/wiki/Masjid_Jamek_LRT_station,wikipedia
Medan Tuanku,MR9,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.15917,101.69861,https://en.wikipedia.org/wiki/Medan_Tuanku_Monorail_station,wikipedia
Mentari,SB2,B1   BRT Sunway Line,Rapid Bus,BRT,Petaling Jaya,2 June 2015,3.07628,101.610215,https://en.wikipedia.org/wiki/Mentari_BRT_station,wikipedia
Merdeka,KG17,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.1419694,101.70205,https://en.wikipedia.org/wiki/Merdeka_MRT_station,wikipedia
Metro Prima,PY09,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 June 2022,3.214568,101.640366,https://en.wikipedia.org/wiki/Metro_Prima_MRT_station,wikipedia
Mid Valley,KB01,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,23 August 2004,3.11833,101.67861,https://en.wikipedia.org/wiki/Mid_Valley_Komuter_station,wikipedia
Miharja,AG12,3   Ampang Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996,3.12083,101.7175,https://en.wikipedia.org/wiki/Miharja_LRT_station,wikipedia
Muhibbah,SP20,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,31 October 2015,3.062056,101.6625,https://en.wikipedia.org/wiki/Muhibbah_LRT_station,wikipedia
Mutiara Damansara,KG08,9   Kajang Line,Rapid Rail,MRT,Petaling Jaya,16 December 2016,3.1551722,101.6087944,https://en.wikipedia.org/wiki/Mutiara_Damansara_MRT_station,wikipedia
Muzium Negara,KG15,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.1373167,101.6873361,https://en.wikipedia.org/wiki/Muzium_Negara_MRT_station,wikipedia
Nilai,KB11,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,1995,2.80222,101.79944,https://en.wikipedia.org/wiki/Nilai_Komuter_station,wikipedia
Padang Jawa,KD12,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Shah Alam,1995,3.0525,101.492778,https://en.wikipedia.org/wiki/Padang_Jawa_Komuter_station,wikipedia
Pandan Indah,AG15,3   Ampang Line,Rapid Rail,LRT,Ampang Jaya,16 December 1996,3.13444,101.74639,https://en.wikipedia.org/wiki/Pandan_Indah_LRT_station,wikipedia
Pandan Jaya,AG14,3   Ampang Line,Rapid Rail,LRT,Ampang Jaya,16 December 1996,3.13,101.73861,https://en.wikipedia.org/wiki/Pandan_Jaya_LRT_station,wikipedia
Pantai Dalam,KD03,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,14 August 1995,3.095,101.66972,https://en.wikipedia.org/wiki/Pantai_Dalam_Komuter_station,wikipedia
Pasar Klang,SA18,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0678689,101.4508698,https://en.wikipedia.org/wiki/Pasar_Klang_LRT_station,osm
Pasar Seni,KJ14     KG16,5   Kelana Jaya Line 9   Kajang Line,Rapid Rail,LRT MRT,Kuala Lumpur,1 September 1998  (LRT) 17 July 2017  (MRT),3.1425,101.69528,https://en.wikipedia.org/wiki/Pasar_Seni_station,wikipedia
Persiaran KLCC,PY21,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.15667,101.71722,https://en.wikipedia.org/wiki/Persiaran_KLCC_MRT_station,wikipedia
Petaling,KD04,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,14 August 1995,3.08611,101.66417,https://en.wikipedia.org/wiki/Petaling_Komuter_station,wikipedia
Port Klang (Pelabuhan Klang),KD19,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,2.99917,101.39167,https://en.wikipedia.org/wiki/Port_Klang_Komuter_station,wikipedia
Phileo Damansara,KG12,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,16 December 2016,3.1292861,101.6428917,https://en.wikipedia.org/wiki/Phileo_Damansara_MRT_station,wikipedia
Plaza Rakyat,AG8     SP8,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996,3.14444,101.70139,https://en.wikipedia.org/wiki/Plaza_Rakyat_LRT_station,wikipedia
Puchong Perdana,SP28,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.007778,101.604972,https://en.wikipedia.org/wiki/Puchong_Perdana_LRT_station,wikipedia
Puchong Prima,SP29,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,2.999944,101.596694,https://en.wikipedia.org/wiki/Puchong_Prima_LRT_station,wikipedia
Pudu,AG10     SP10,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996,3.134944,101.712,https://en.wikipedia.org/wiki/Pudu_LRT_station,wikipedia
Pulau Sebang/Tampin,KB18,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Alor Gajah,10 October 2015,2.4635,102.22625,https://en.wikipedia.org/wiki/Pulau_Sebang/Tampin_railway_station,wikipedia
Pusat Bandar Damansara,KG13,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,16 December 2016,3.1434111,101.6622417,https://en.wikipedia.org/wiki/Pusat_Bandar_Damansara_MRT_station,wikipedia
Pusat Bandar Puchong,SP25,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 March 2016,3.033278,101.616028,https://en.wikipedia.org/wiki/Pusat_Bandar_Puchong_LRT_station,wikipedia
Putra,KA04,1   Batu Caves–Pulau Sebang Line 2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.16561,101.69073,https://en.wikipedia.org/wiki/Putra_Komuter_station,wikipedia
Putra Heights,SP31     KJ37,4   Sri Petaling Line 5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,2.996056,101.575556,https://en.wikipedia.org/wiki/Putra_Heights_LRT_station,wikipedia
Putra Permai,PY37,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,2.9829901,101.660426,https://en.wikipedia.org/wiki/Putra_Permai_MRT_station,osm
Putrajaya Sentral,KT3       PY41,7   KLIA Transit 12   Putrajaya Line,ERL Rapid Rail,Airport rail link MRT,Putrajaya,20 June 2002 (ERL) 16 March 2023 (MRT),2.931528,101.670944,https://en.wikipedia.org/wiki/Putrajaya_Sentral,wikipedia
PWTC,AG4     SP4,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.16639,101.69333,https://en.wikipedia.org/wiki/PWTC_LRT_station,wikipedia
Raja Chulan,MR7,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.15056,101.71028,https://en.wikipedia.org/wiki/Raja_Chulan_station,wikipedia
Raja Uda,PY19,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.1678,101.7112,https://en.wikipedia.org/wiki/Raja_Uda_MRT_station,wikipedia
Rasa,KA13,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Hulu Selangor,21 April 2007,3.5,101.63417,https://en.wikipedia.org/wiki/Rasa_Komuter_station,wikipedia
Rawang,KA10,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Selayang,1995,3.31889,101.575,https://en.wikipedia.org/wiki/Rawang_railway_station,wikipedia
Rembau,KB17,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Rembau,10 October 2015,2.59306,102.094639,https://en.wikipedia.org/wiki/Rembau_railway_station,wikipedia
Salak Selatan (KTM),KB03,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.09833,101.705,https://en.wikipedia.org/wiki/Salak_Selatan_Komuter_station,wikipedia
Salak Selatan (LRT),SP13,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.10194,101.70611,https://en.wikipedia.org/wiki/Salak_Selatan_LRT_station,wikipedia
Salak Tinggi,KT4,7   KLIA Transit,ERL,Airport rail link,Sepang,20 June 2002,2.82556,101.71306,https://en.wikipedia.org/wiki/Salak_Tinggi_ERL_station,wikipedia
Segambut,KA05,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.18639,101.66417,https://en.wikipedia.org/wiki/Segambut_Komuter_station,wikipedia
Segambut Utara,KA05A,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,11 May 2026,3.192,101.65507,https://en.wikipedia.org/wiki/Segambut_Utara_Komuter_station,wikipedia
Seksyen 7 Shah Alam,SA15,11   Shah Alam Line,Rapid Rail,LRT,Shah Alam,29 June 2026,3.0674607,101.4869681,https://en.wikipedia.org/wiki/Seksyen_7_Shah_Alam_LRT_station,osm
Semantan,KG14,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,16 December 2016,3.151125,101.6654861,https://en.wikipedia.org/wiki/Semantan_MRT_station,wikipedia
Senawang,KB15,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,14 May 2011,2.689194,101.97225,https://en.wikipedia.org/wiki/Senawang_Komuter_station,wikipedia
